,airport_code,city_name,avg_daily_flights,percent_delayed,num_unique_airlines,unique_airlines,mean_dep_delay,std_dep_delay
262,PSG,"Petersburg, AK",1.9491525423728813,14.492753623188408,1,['AS'],-12.840579710144928,50.78157260209681
60,CDV,"Cordova, AK",1.9488636363636365,23.615160349854225,1,['AS'],-3.75801749271137,44.896466845838326
65,CIU,"Sault Ste. Marie, MI",1.9447513812154695,33.23863636363637,1,['OO'],18.698863636363637,108.59753555237673
333,TXK,"Texarkana, AR",1.9444444444444444,26.285714285714285,2,"['MQ', 'OO']",20.122857142857143,112.33361739211409
322,SWO,"Stillwater, OK",1.9438202247191012,18.20809248554913,1,['OO'],3.208092485549133,90.16260700777119
129,GGG,"Longview, TX",1.9388888888888889,30.37249283667622,2,"['MQ', 'OO']",19.074498567335244,126.96528694563526
312,SPS,"Wichita Falls, TX",1.9388888888888889,28.08022922636103,2,"['MQ', 'OO']",15.553008595988539,115.61634272455947
126,GCK,"Garden City, KS",1.9385474860335195,29.106628242074933,2,"['MQ', 'OO']",20.694524495677232,84.27263798698127
44,BPT,"Beaumont/Port Arthur, TX",1.9382022471910112,18.26086956521739,1,['OO'],18.730434782608697,101.30847335993037
125,GCC,"Gillette, WY",1.9378531073446328,25.072886297376094,1,['OO'],17.690962099125365,106.25049352458487
344,YAK,"Yakutat, AK",1.9375,17.302052785923753,1,['AS'],-18.410557184750733,50.30859247139933
67,CLD,"Carlsbad, CA",1.9375,12.903225806451612,1,['MQ'],-0.967741935483871,13.99400793427373
212,MGW,"Morgantown, WV",1.9285714285714286,34.07407407407407,1,['OO'],80.21481481481482,211.98596775530223
73,CMX,"Hancock/Houghton, MI",1.926553672316384,31.964809384164226,1,['OO'],27.80058651026393,117.53838471753784
176,JST,"Johnstown, PA",1.9217877094972067,26.453488372093023,1,['OO'],46.156976744186046,164.38559096460008
83,CYS,"Cheyenne, WY",1.8777777777777778,20.118343195266274,1,['OO'],-4.053254437869822,121.57589173962586
107,ESC,"Escanaba, MI",1.850828729281768,19.402985074626866,1,['OO'],21.438805970149254,117.90448909803318
50,BTM,"Butte, MT",1.8453038674033149,10.479041916167665,1,['OO'],-10.592814371257486,42.113339949060546
332,TWF,"Twin Falls, ID",1.8176795580110496,6.686930091185411,1,['OO'],-6.0121580547112465,58.479252923261136
253,PIH,"Pocatello, ID",1.8176795580110496,6.079027355623101,1,['OO'],-4.197568389057751,32.01191460997095
290,SCC,"Deadhorse, AK",1.8157894736842106,16.304347826086953,1,['AS'],-24.590579710144926,64.62813165986259
255,PLN,"Pellston, MI",1.8135593220338984,24.299065420560744,1,['OO'],15.85981308411215,103.43900212789643
229,MVY,"Martha's Vineyard, MA",1.8035714285714286,16.83168316831683,2,"['YX', 'B6']",0.6138613861386139,73.23892002167014
174,JMS,"Jamestown, ND",1.803370786516854,24.9221183800623,1,['OO'],0.04984423676012461,89.61489138412298
93,DIK,"Dickinson, ND",1.8,19.444444444444443,1,['OO'],18.021604938271604,110.60207938921428
99,DVL,"Devils Lake, ND",1.7988826815642458,26.70807453416149,1,['OO'],17.10248447204969,73.3072656446848
337,VCT,"Victoria, TX",1.7570621468926553,23.794212218649516,1,['OO'],39.69774919614148,135.34006855402382
173,JLN,"Joplin, MO",1.7458563535911602,23.734177215189874,1,['OO'],29.658227848101266,119.29317079679899
59,CDC,"Cedar City, UT",1.7348066298342542,9.872611464968154,1,['OO'],-7.987261146496815,53.86689159146935
18,APN,"Alpena, MI",1.723756906077348,27.884615384615383,1,['OO'],23.807692307692307,104.4127424055656
165,INL,"International Falls, MN",1.723756906077348,20.192307692307693,1,['OO'],20.330128205128204,102.52617886685417
47,BRD,"Brainerd, MN",1.7222222222222223,16.774193548387093,1,['OO'],11.551612903225806,75.14479387112466
146,HIB,"Hibbing, MN",1.7166666666666666,16.181229773462785,1,['OO'],10.197411003236246,68.39702084745943
187,LBL,"Liberal, KS",1.7159090909090908,18.543046357615893,1,['OO'],3.73841059602649,48.81725140434174
251,PIB,"Hattiesburg/Laurel, MS",1.7134831460674158,20.98360655737705,1,['OO'],6.163934426229508,65.23141506042285
156,HYS,"Hays, KS",1.7118644067796611,16.17161716171617,1,['OO'],8.402640264026402,83.16569429901794
89,DEC,"Decatur, IL",1.707182320441989,21.03559870550162,1,['OO'],12.915857605177994,98.33589091743217
180,LAR,"Laramie, WY",1.7062146892655368,24.172185430463575,1,['OO'],13.466887417218542,79.04587105269306
207,MEI,"Meridian, MS",1.7039106145251397,20.327868852459016,1,['OO'],10.295081967213115,93.8554922723266
121,FOD,"Fort Dodge, IA",1.7039106145251397,24.59016393442623,1,['OO'],8.039344262295081,85.89650151928657
186,LBF,"North Platte, NE",1.6888888888888889,19.407894736842106,1,['OO'],9.55921052631579,83.01637943695341
29,BFF,"Scottsbluff, NE",1.6853932584269662,17.333333333333332,1,['OO'],5.75,62.83663189328583
204,MCW,"Mason City, IA",1.6836158192090396,17.78523489932886,1,['OO'],4.489932885906041,69.45120297937017
100,EAR,"Kearney, NE",1.680672268907563,27.0,1,['OO'],21.975,132.09321505024988
88,DDC,"Dodge City, KS",1.6723163841807909,24.32432432432433,1,['OO'],5.925675675675675,105.44775178008352
101,EAU,"Eau Claire, WI",1.6623376623376624,28.124999999999996,1,['OO'],51.484375,149.13804757422554
